FATES_NPP_PF,FATES_RECRUITMENT_PF,FATES_NPLANT_PF,FATES_MORTALITY_PF,FATES_NPATCHES,FATES_NCOHORTS,FATES_VEGC_PF,FATES_SEED_BANK_TRS,FATES_SEEDLING_POOL_TRS,FATES_SEEDS_IN,FATES_SEEDS_IN_LOCAL,date,simYr
3.2222043699903224e-8,0.010952137410640717,0.07942505925893784,0.0014629708603024483,10,192.83871459960938,31.179821014404297,7.110117585398257e-4,0.0023024617694318295,7.674160196202706e-10,0,1905-09-01,6
2.8927688688895614e-8,0.011901665478944778,0.0796831026673317,0.0014671896351501346,10,191.96665954589844,31.18313980102539,6.173145957291126e-4,0.002386621665209532,6.209022740399917e-10,0,1905-10-01,6
3.031892603644337e-8,0.012443802319467068,0.08005040138959885,0.0014735638396814466,10,192.19354248046875,31.183979034423828,5.435777129605412e-4,0.0024236193858087063,6.819941278379815e-10,0,1905-11-01,6
3.345264687482086e-8,0.012633518315851688,0.08037573844194412,0.001479174243286252,10,195.3000030517578,31.194660186767578,5.322311189956963e-4,0.002442851895466447,8.106222360027004e-10,0,1905-12-01,6
3.267996362410486e-8,0.01168086752295494,0.08089564740657806,0.0014886526623740792,10,194.80645751953125,31.20209503173828,4.963644314557314e-4,0.002489654812961817,7.919478961504467e-10,0,1906-01-01,7
3.5011943566587433e-8,0.012091984041035175,0.08140099793672562,0.001497928285971284,10,195.1290283203125,31.21431541442871,5.958030233159661e-4,0.0024191602133214474,8.355086067446393e-10,0,1906-02-01,7
3.036018725310896e-8,0.012301892042160034,0.08189260214567184,0.0015070183435454965,10,195.5,31.224681854248047,8.226882200688124e-4,0.002195555716753006,6.302068311647702e-10,0,1906-03-01,7
2.9648010269056613e-8,0.00800903607159853,0.08221294730901718,0.0015131221152842045,10,192.16128540039062,31.221284866333008,0.0010170863242819905,0.0019882693886756897,5.973158634375864e-10,0,1906-04-01,7
2.4162629230772836e-8,0.0052195340394973755,0.08243171125650406,0.0015173403080552816,10,191.86666870117188,31.215206146240234,0.0011986925965175033,0.0018121794564649463,3.9759393000160514e-10,0,1906-05-01,7
3.169826001681031e-8,0.009047022089362144,0.08274219185113907,0.0015232639852911234,10,199.7096710205078,31.21369743347168,0.0013818199513480067,0.001642603543587029,7.390583145472363e-10,0,1906-06-01,7
3.147274441062109e-8,0.009934394620358944,0.08309445530176163,0.0015298289945349097,10,199.93333435058594,31.220802307128906,0.001221524435095489,0.0018473839154466987,7.406631974404831e-10,0,1906-07-01,7
3.243020785248518e-8,0.011201145127415657,0.083568274974823,0.0015382504789158702,10,199.1290283203125,31.227710723876953,9.075788548216224e-4,0.002182705095037818,7.836380988557323e-10,0,1906-08-01,7
2.8738226021118862e-8,0.011316651478409767,0.08410579711198807,0.0015478187706321478,10,200.4516143798828,31.23099708557129,7.455081213265657e-4,0.0023409631103277206,6.506587491017513e-10,0,1906-09-01,7
3.02838962795704e-8,0.01182673592120409,0.0846317857503891,0.0015574974240735173,10,200.63333129882812,31.232282638549805,6.089666858315468e-4,0.002465460216626525,6.817547082427211e-10,0,1906-10-01,7
2.9998595607594325e-8,0.012632312253117561,0.08521509170532227,0.001569434069097042,10,201.1290283203125,31.234909057617188,5.604837206192315e-4,0.00248538120649755,6.773696603623591e-10,0,1906-11-01,7
3.0352062196925544e-8,0.011901269666850567,0.08579689264297485,0.0015789238968864083,10,203.43333435058594,31.237157821655273,5.298262112773955e-4,0.002494039246812463,7.073850949446125e-10,0,1906-12-01,7
3.431000195064371e-8,0.011633356101810932,0.08630914241075516,0.0015877822879701853,10,207.5806427001953,31.24448013305664,5.65206806641072e-4,0.0024736400227993727,8.378196469926991e-10,0,1907-01-01,8
3.468624143465604e-8,0.011549302376806736,0.08681105077266693,0.0015969384694471955,10,206.93548583984375,31.257631301879883,6.820238777436316e-4,0.002391852205619216,8.483029834138733e-10,0,1907-02-01,8
