sp,FRUIT_DRY,N_SEEDFULL,DSPR_DRY,DRY_MASS
hirtra,0.14323,1,0.104376667,0.14323
hirttr,0.521581333,1,0.289254,0.521581333
hirttu,NA,NA,NA,NA
hortco,NA,NA,NA,NA
humidi,5.715075,1.25,3.9076,5.715075
huracr,34.177,10,0.322225,34.177
hybapr,0.2197125,4.45,0.0240065,0.2197125
hyeral,0.010068,1,0.007292,0.010068
hyerob,NA,NA,NA,NA
hylepr,16.59395,3.2,2.67925,16.59395
hymeco,121.7091322,6.122222222,4.721284537,121.7091322
ingach,NA,NA,NA,NA
ingaco,8.43800625,13.8125,0.261439063,8.43800625
ingafa,4.591748,10.12,0.268031,4.591748
ingago,18.2627,8,0.6075375,18.2627
ingam1,NA,NA,NA,NA
ingam2,20.489222,14.79,0.48262925,20.489222
ingama,1.8893,7,0.139275,1.8893
ingami,NA,NA,NA,NA
ingapa,8.48378,15.6,0.263685,8.48378
ingape,NA,NA,NA,NA
ingapu,5.87743,9.6,0.3679075,5.87743
ingaqu,4.2578,10.8,0.198895,4.2578
ingaru,NA,NA,NA,NA
ingas1,NA,NA,NA,NA
ingasa,19.567768,13.04,0.530055,19.567768
ingase,NA,NA,NA,NA
ingasp,NA,NA,NA,NA
ingath,8.14465,17.25,0.232925,8.14465
ingaum,4.76976,6.4,0.371390417,4.76976
iserla,NA,NA,NA,NA
jac1co,7.359931944,195.375,0.006892361,7.359931944
jac2sp,NA,NA,NA,NA
justgr,NA,NA,NA,NA
koanwe,NA,NA,NA,NA
laciag,0.048376,1.24,0.017458,0.048376
lacmpa,1.381792,2,0.268380667,1.381792
laetpr,NA,NA,NA,NA
laetth,4.403366667,31.25,0.008654167,4.403366667
lafopu,14.3301,84.5,0.038405556,14.3301
laplfr,NA,NA,NA,NA
leandi,NA,NA,NA,NA
lennvi,NA,NA,NA,NA
licaaf,NA,NA,NA,NA
licahy,0.302775,1,0.211425,0.302775
licapl,9.202948,1,5.08756,9.202948
lindla,0.609606444,2.473333333,0.04322,0.609606444
loncat,NA,NA,NA,NA
loncfe,NA,NA,NA,NA
loncla,0.195165,1.2,0.0523425,0.195165
loncmi,NA,NA,NA,NA
lopida,NA,NA,NA,NA
lozapi,NA,NA,NA,NA
luehse,0.244037917,41.9975,0.001307768,0.244037917
luehsp,NA,NA,NA,NA
lycima,0.040373333,4.466666667,0.006935,0.040373333
mabeoc,NA,NA,NA,NA
macfun,NA,NA,0.03697,0.03697
machar,NA,NA,NA,NA
machfl,NA,NA,NA,NA
machke,0.083976,1,0.072836,0.083976
machm1,NA,NA,0.1203,0.1203
machm2,NA,NA,0.09417,0.09417
machse,0.32706,1,0.17758,0.32706
maclti,NA,NA,NA,NA
macrgl,0.02602,130.8,NA,0.02602
malmsp,0.3537,1,0.25898,0.3537
malpro,NA,NA,NA,NA
manibi,3.74234,1,1.026956,3.74234
manich,NA,NA,NA,NA
manske,NA,NA,NA,NA
maprgu,NA,NA,NA,NA
maquco,0.310484,1,0.218956,0.310484
mar1la,0.05367,2,0.020183333,0.05367
mar1pl,NA,NA,NA,NA
mar2pa,1.455724769,2.615064103,0.246547994,1.455724769
marapa,NA,NA,NA,NA
marcne,0.638392,NA,5.4e-5,0.638392
margno,NA,NA,NA,NA
martob,NA,NA,NA,NA
maschi,NA,NA,0.0632,0.0632
mascne,NA,NA,0.0072,0.0072
mataap,1.50774,3,0.237566667,1.50774
matasc,NA,NA,NA,NA
maytsc,NA,NA,NA,NA
mendgr,0.24808,NA,0.06952,0.24808
mendli,0.57935,1,0.31426,0.57935
micoaf,NA,NA,NA,NA
micoar,0.06945,64.6,NA,0.06945
micodo,NA,NA,NA,NA
micoel,NA,NA,NA,NA
micoho,NA,NA,NA,NA
micoim,NA,NA,NA,NA
micone,NA,NA,NA,NA
micopo,NA,NA,NA,NA
micopr,NA,NA,NA,NA
micotr,NA,NA,NA,NA
mikale,NA,NA,NA,NA
moripa,NA,NA,NA,NA
mortan,1.6536,12.5,0.018775,1.6536
mosqja,NA,NA,NA,NA
mourmy,0.110022,1,0.074658,0.110022
mourpa,NA,NA,NA,NA
muntca,0.20106,1241.8,NA,0.20106
myrcfo,0.052856,1,0.02876,0.052856
myrcga,0.115726667,1,0.07466,0.115726667
myrcze,NA,NA,NA,NA
myrofr,NA,NA,NA,NA
myrsco,NA,NA,NA,NA
nectci,NA,NA,NA,NA
nectcu,NA,NA,NA,NA
nectgl,NA,NA,NA,NA
nectma,NA,NA,NA,NA
nectpu,1.018313333,1,0.236791667,1.018313333
nects1,NA,NA,NA,NA
nects3,NA,NA,NA,NA
nectum,0.9576,1,0.60176,0.9576
neeaam,0.0705925,1,0.050025,0.0705925
neeade,NA,NA,NA,NA
ochrpy,NA,NA,NA,NA
ocotce,0.32182,1,0.047775,0.32182
ocotir,0.98516,1,0.71136,0.98516
ocotob,0.6122,1,0.442,0.6122
ocotpu,0.20269,1,0.0915,0.20269
ocotwh,8.923,1,7.0826,8.923
odo1ma,NA,NA,0.1903,0.1903
odo1pu,3.39885,23.5,0.0345875,3.39885
odo2tr,0.4351,1,0.2666,0.4351
oenoma,2.630532,1,1.6613,2.630532
olmeas,0.04577,1,0.03054,0.04577
omphdi,125.0193125,2.875,12.66464542,125.0193125
ormoam,2.0983,1,0.38334,2.0983
ormocr,3.141496,1.04,0.545299,3.141496
ormoma,2.34192,1.5,0.322853,2.34192
otobac,NA,NA,NA,NA
otobno,NA,NA,NA,NA
ouraco,NA,NA,NA,NA
ouralu,0.15062,1,0.12011,0.15062
oxanlo,0.73653,1,0.524065,0.73653
oxanpa,NA,NA,NA,NA
paligu,0.030604,1.84,0.010471,0.030604
par1py,NA,NA,0.03,0.03
par2am,NA,NA,NA,NA
parmce,NA,NA,NA,NA
passam,24.09385,111.25,0.049109375,24.09385
passvi,13.041725,317.75,0.01968125,13.041725
paulba,0.222366667,1,0.070006667,0.222366667
paulbr,0.79622,1.5,0.1909275,0.79622
paulfi,NA,NA,NA,NA
paulfu,NA,NA,NA,NA
paulg2,0.2267,1,0.1304,0.2267
paulpi,0.936181667,2.125,0.229292361,0.936181667
paulpt,0.18902,1,0.09484,0.18902
paulru,NA,NA,NA,NA
paultu,0.588851786,1.851190476,0.233550883,0.588851786
pentma,3.7480275,99.875,0.005064375,3.7480275
peraar,0.472333333,1,0.020433333,0.472333333
perexa,2.1198625,12.125,0.112275,2.1198625
petras,0.03864,1,0.03116,0.03864
phoeci,0.19151,1,0.057495,0.19151
phryco,14.451575,34.75,0.104143,14.451575
picrla,0.17586,1.3,0.062828333,0.17586
pipea1,NA,NA,NA,NA
pipeae,NA,NA,NA,NA
pipeca,NA,NA,NA,NA
pipeco,0.6837,103,0.002445,0.6837
pipecu,NA,NA,NA,NA
pipeim,NA,NA,NA,NA
pipemu,NA,NA,NA,NA
pipepe,NA,NA,NA,NA
pipere,NA,NA,NA,NA
pit1ba,NA,NA,NA,NA
pit1ma,NA,NA,NA,NA
pit1ru,3.330616,7.72,0.236196667,3.330616
pit2cr,55.7,119.5,0.102706667,55.7
pla1pi,0.437213333,1,0.208273333,0.437213333
pla2el,1.917284,1,0.387768,1.917284
pleova,22.14866667,29.66666667,0.149583333,22.14866667
pochaq,NA,NA,NA,NA
pochqu,NA,NA,NA,NA
pochse,NA,NA,0.38848,0.38848
podogu,NA,NA,NA,NA
pogosp,NA,NA,NA,NA
posola,7.199663333,24.18333333,0.19648875,7.199663333
poular,2.1627,2.666666667,0.065011111,2.1627
pourbi,0.45339,1,0.319564,0.45339
poutf1,NA,NA,NA,NA
poutfo,NA,NA,NA,NA
poutgl,NA,NA,NA,NA
poutre,1.452076667,1,0.581827083,1.452076667
poutst,4.0114475,1.475,1.186787917,4.0114475
pri1as,3.0986,5.4,0.184861667,3.0986
pri2co,35.991804,1,23.451124,35.991804
proccr,NA,NA,NA,NA
protco,NA,NA,NA,NA
protpa,1.640695,1.25,0.519585,1.640695
protsp,NA,NA,NA,NA
protte,1.14576,2.428571429,0.192848889,1.14576
pse1se,99.116,253,0.046705000000000003,99.116
pse2sp,NA,NA,NA,NA
psidfr,8.6424,50.1,0.03557,8.6424
psycac,0.033948,1.96,0.013086,0.033948
psycb1,NA,NA,NA,NA
psycb2,0.01598,3.5,0.0027525,0.01598
psycc1,NA,NA,NA,NA
psycc2,0.03142,1.76,0.011256,0.03142
psycch,0.033770095,1.645714286,0.012860095,0.033770095
psycde,0.01168,1.88,0.004202,0.01168
psycem,0.023,1.8,0.00872,0.023
psycfu,0.027593333,1.8,0.012348333,0.027593333
psycg1,NA,NA,NA,NA
psycg2,NA,NA,NA,NA
psycg3,0.080396,1.8,0.013985,0.080396
psycho,0.013288,1.32,0.00665,0.013288
psycip,0.025636,1.88,0.010852,0.025636
psycli,0.026164,1.8,0.009358,0.026164
psycma,0.028452,1.52,0.010954,0.028452
psycmi,0.024865556,1.86,0.007921667,0.024865556
psycne,NA,NA,NA,NA
