sp,latin
pleu2,Pleurothyrium sp.2_(hoja_grande)
pleuhe,Pleurothyrium aff.hexaglandulosum
pleura,Pleurothyrium racemosum
pochaq,Pachira aquatica
pochqu,Pachira quinata
pochse,Pachira sessilis
podogu,Podocarpus guatemalensis
podool,Podocarpus oleifolius
pogosp,Pogonopus exsertus
poso1,Posoqueria sp.1_(hojas_chicas)
posola,Posoqueria latifolia
poular,Poulsenia armata
pourbi,Pourouma bicolor
pourmi,Pourouma minor
pout10,Pouteria sp.10
pout17,Pouteria sp.17
pout18,Pouteria sp.18
pout20,Pouteria sp.20
pout21,Pouteria sp.21
pout23,Pouteria sp.23
pout27,Pouteria sp.27
pout28,Pouteria sp.28
pout3,Pouteria sp.3
pout30,Pouteria sp.30
pout4,Pouteria sp.4
pout7,Pouteria sp.7
pout8,Pouteria sp.8
pout9,Pouteria sp.9
poutb1,Pouteria bulliformis
poutbu,Pouteria buenaventurensis
poutc1,Pouteria calistophylla
poutca,Pouteria campechiana
poutco,Pouteria congestifolia
poutcu,Pouteria cuspidata
poutdu,Pouteria durlandii
poutf1,Pouteria foveolata
poutfo,Pouteria fossicola
poutgl,Pouteria glomerata
poutle,Pouteria leptopedicellata
poutre,Pouteria reticulata
poutsc,Pouteria sclerocarpa.aff
poutst,Pouteria stipitata
poutsy,Pouteria silvestris
poutto,Pouteria torta
presde,Prestoea decurrens
pri2co,Prioria copaifera
proccr,Prockia crucis
protco,Protium costaricense
protgl,Protium glabrum
protgu,Protium aff.guianense
protpa,Protium panamense
protsp,Protium confusum
protte,Protium tenuifolium
prottr,Protium trifoliolatum
pse1se,Pseudobombax septenatum
pse2la,Pseudolmedia laevigata
pse2sp,Pseudolmedia spuria
pse3fr,Pseudima frutescens
psidfr,Psidium friedrichsthalianum
psyc4,Psychotria sp.4
psycac,Psychotria acuminata
psycal,Psychotria allenii
psycb1,Psychotria brachiata
psycb2,Psychotria brachybotrya
psycc1,Psychotria capitata
psycca,Psychotria calophylla
