sp,cen_interval,tStart,tEnd,tCenInt,Nt0,Nt1,S_t1,M_t1,R_t1,site
cupasy,4,1995-05-20,2000-05-14,4.983606557377049,1333,1435,1316,6.857410968825178e-6,4.800187678177625e-5,bci
cupasy,5,2000-05-14,2005-05-29,5.041095890410959,1435,1527,1416,7.5783686519015e-6,4.427362738742455e-5,bci
cupasy,6,2005-05-29,2010-05-17,4.967123287671233,1527,1609,1491,1.4633741314849667e-5,4.79661520875628e-5,bci
cupasy,7,2010-05-17,2015-07-09,5.144808743169399,1609,1649,1552,2.2481370644465607e-5,3.8257771096722176e-5,bci
ingami,1,1982-01-01,1985-05-03,3.334246575342466,11,11,8,2.003995049357108e-6,2.003995049357108e-6,bci
ingami,2,1985-05-03,1990-08-10,5.271232876712329,11,11,9,8.217771748550222e-7,8.217771748550222e-7,bci
ingami,3,1990-08-10,1995-05-20,4.7753424657534245,11,9,8,1.4192668259424452e-6,4.7308894198081506e-7,bci
ingami,4,1995-05-20,2000-05-14,4.983606557377049,9,6,6,1.4064845597645455e-6,0,bci
ingami,5,2000-05-14,2005-05-29,5.041095890410959,6,3,3,1.5415805297548194e-6,0,bci
ingami,6,2005-05-29,2010-05-17,4.967123287671233,3,4,1,1.1905501634449234e-6,1.785825245167385e-6,bci
ingami,7,2010-05-17,2015-07-09,5.144808743169399,4,6,3,4.3505875763600165e-7,1.305176272908005e-6,bci
ingaru,1,1982-01-01,1985-05-03,3.334246575342466,38,31,29,5.9178271853267025e-6,1.3150727078503784e-6,bci
ingaru,2,1985-05-03,1990-08-10,5.271232876712329,31,24,23,3.4133065435582376e-6,4.266633179447797e-7,bci
ingaru,3,1990-08-10,1995-05-20,4.7753424657534245,24,18,18,2.806296359450828e-6,0,bci
ingaru,4,1995-05-20,2000-05-14,4.983606557377049,18,14,14,1.7704017956056437e-6,0,bci
ingaru,5,2000-05-14,2005-05-29,5.041095890410959,14,10,10,1.8078785144083693e-6,0,bci
ingaru,6,2005-05-29,2010-05-17,4.967123287671233,10,9,9,4.1976386494581243e-7,0,bci
ingaru,7,2010-05-17,2015-07-09,5.144808743169399,9,7,7,8.581370013201819e-7,0,bci
cuparu,1,1982-01-01,1985-05-03,3.334246575342466,56,79,55,6.036234802247389e-7,1.4486963525393733e-5,bci
cuparu,2,1985-05-03,1990-08-10,5.271232876712329,79,114,74,1.9476794606998792e-6,1.5581435685599034e-5,bci
cuparu,3,1990-08-10,1995-05-20,4.7753424657534245,114,135,111,1.2697338111741733e-6,1.0157870489393386e-5,bci
cuparu,4,1995-05-20,2000-05-14,4.983606557377049,135,143,126,3.712115885960555e-6,7.011774451258827e-6,bci
cuparu,5,2000-05-14,2005-05-29,5.041095890410959,143,147,130,5.35650244398422e-6,7.004657042133211e-6,bci
cuparu,6,2005-05-29,2010-05-17,4.967123287671233,147,161,133,5.864577142876633e-6,1.1729154285753267e-5,bci
cuparu,7,2010-05-17,2015-07-09,5.144808743169399,161,167,136,1.0390253105531937e-5,1.2883913850859601e-5,bci
poutfo,1,1982-01-01,1985-05-03,3.334246575342466,3,3,3,0,NaN,bci
poutfo,2,1985-05-03,1990-08-10,5.271232876712329,3,3,3,0,NaN,bci
poutfo,3,1990-08-10,1995-05-20,4.7753424657534245,3,3,3,0,NaN,bci
poutfo,4,1995-05-20,2000-05-14,4.983606557377049,3,3,3,0,NaN,bci
poutfo,5,2000-05-14,2005-05-29,5.041095890410959,3,3,3,0,NaN,bci
poutfo,6,2005-05-29,2010-05-17,4.967123287671233,3,3,3,0,NaN,bci
poutfo,7,2010-05-17,2015-07-09,5.144808743169399,3,4,3,0,NaN,bci
vochfe,1,1982-01-01,1985-05-03,3.334246575342466,34,28,28,3.8466151360331135e-6,0,bci
vochfe,2,1985-05-03,1990-08-10,5.271232876712329,28,28,23,2.051278725022888e-6,2.051278725022888e-6,bci
vochfe,3,1990-08-10,1995-05-20,4.7753424657534245,28,26,24,1.7788452665880508e-6,8.894226332940254e-7,bci
vochfe,4,1995-05-20,2000-05-14,4.983606557377049,26,21,17,4.249594866053955e-6,1.8887088293573132e-6,bci
vochfe,5,2000-05-14,2005-05-29,5.041095890410959,21,27,19,8.25624617530958e-7,3.302498470123832e-6,bci
vochfe,6,2005-05-29,2010-05-17,4.967123287671233,27,33,20,3.1659778493638183e-6,5.87967314881852e-6,bci
vochfe,7,2010-05-17,2015-07-09,5.144808743169399,33,38,17,7.983364372738407e-6,1.047816573921916e-5,bci
ast1st,1,1982-01-01,1985-05-03,3.334246575342466,248,232,228,1.2351743080425941e-5,2.4703486160851883e-6,bci
ast1st,2,1985-05-03,1990-08-10,5.271232876712329,232,221,211,8.277025633966831e-6,3.941440778079444e-6,bci
ast1st,3,1990-08-10,1995-05-20,4.7753424657534245,221,205,205,6.901596362385459e-6,0,bci
ast1st,4,1995-05-20,2000-05-14,4.983606557377049,205,188,186,7.924247630575666e-6,8.341313295342807e-7,bci
ast1st,5,2000-05-14,2005-05-29,5.041095890410959,188,166,166,9.16901049978358e-6,0,bci
ast1st,6,2005-05-29,2010-05-17,4.967123287671233,166,152,151,6.270264017394176e-6,4.180176011596117e-7,bci
ast1st,7,2010-05-17,2015-07-09,5.144808743169399,152,133,133,7.788681594086814e-6,0,bci
cou2cu,1,1982-01-01,1985-05-03,3.334246575342466,1508,1697,1469,2.360852700770188e-5,1.380190809681033e-4,bci
cou2cu,2,1985-05-03,1990-08-10,5.271232876712329,1697,2012,1618,3.055576076610563e-5,1.5239202204867872e-4,bci
cou2cu,3,1990-08-10,1995-05-20,4.7753424657534245,2012,2127,1898,4.885229757086676e-5,9.813312406779375e-5,bci
cou2cu,4,1995-05-20,2000-05-14,4.983606557377049,2127,2163,1943,7.65361927528078e-5,9.151066524792238e-5,bci
cou2cu,5,2000-05-14,2005-05-29,5.041095890410959,2163,2146,1949,8.848403398167022e-5,8.145492847845343e-5,bci
cou2cu,6,2005-05-29,2010-05-17,4.967123287671233,2146,2111,1911,9.905437875841567e-5,8.430159894333249e-5,bci
cou2cu,7,2010-05-17,2015-07-09,5.144808743169399,2111,2063,1868,9.917465435393431e-5,7.958459917291025e-5,bci
micoho,1,1982-01-01,1985-05-03,3.334246575342466,30,29,23,4.595797673964555e-6,3.939255149112475e-6,bci
micoho,2,1985-05-03,1990-08-10,5.271232876712329,29,38,25,1.610306144722558e-6,5.233494970348314e-6,bci
micoho,3,1990-08-10,1995-05-20,4.7753424657534245,38,48,38,0,NaN,bci
micoho,4,1995-05-20,2000-05-14,4.983606557377049,48,56,46,8.163418629830055e-7,4.081709314915028e-6,bci
micoho,5,2000-05-14,2005-05-29,5.041095890410959,56,61,51,2.0587482821658405e-6,4.117496564331681e-6,bci
micoho,6,2005-05-29,2010-05-17,4.967123287671233,61,72,55,2.5167917674702092e-6,7.13091000783226e-6,bci
micoho,7,2010-05-17,2015-07-09,5.144808743169399,72,76,65,2.8344536022044426e-6,4.4541413748926954e-6,bci
coccco,1,1982-01-01,1985-05-03,3.334246575342466,181,199,167,8.635585172652792e-6,1.9738480394634953e-5,bci
coccco,2,1985-05-03,1990-08-10,5.271232876712329,199,208,181,7.0943919080977816e-6,1.0641587862146672e-5,bci
coccco,3,1990-08-10,1995-05-20,4.7753424657534245,208,192,175,1.4780201392790601e-5,7.614043141740613e-6,bci
coccco,4,1995-05-20,2000-05-14,4.983606557377049,192,167,161,1.3331362979037906e-5,2.5802638023944335e-6,bci
coccco,5,2000-05-14,2005-05-29,5.041095890410959,167,173,152,6.177671491032605e-6,8.648740087445647e-6,bci
coccco,6,2005-05-29,2010-05-17,4.967123287671233,173,183,140,1.4433376508957567e-5,1.8807126966217438e-5,bci
coccco,7,2010-05-17,2015-07-09,5.144808743169399,183,189,165,7.292224675682383e-6,9.722966234243177e-6,bci
cupaci,1,1982-01-01,1985-05-03,3.334246575342466,6,7,6,0,NaN,bci
cupaci,2,1985-05-03,1990-08-10,5.271232876712329,7,12,6,4.034842156788638e-7,2.4209052940731827e-6,bci
cupaci,3,1990-08-10,1995-05-20,4.7753424657534245,12,11,11,4.333433484930334e-7,0,bci
cupaci,4,1995-05-20,2000-05-14,4.983606557377049,11,7,6,2.5194502496000915e-6,5.038900499200183e-7,bci
cupaci,5,2000-05-14,2005-05-29,5.041095890410959,7,11,7,0,NaN,bci
cupaci,6,2005-05-29,2010-05-17,4.967123287671233,11,10,9,8.7108097809685e-7,4.35540489048425e-7,bci
cupaci,7,2010-05-17,2015-07-09,5.144808743169399,10,19,10,0,NaN,bci
eugega,1,1982-01-01,1985-05-03,3.334246575342466,963,1178,933,1.8194839638070604e-5,1.485911903775766e-4,bci
eugega,2,1985-05-03,1990-08-10,5.271232876712329,1178,1425,1108,2.7222592237411e-5,1.232794534179898e-4,bci
eugega,3,1990-08-10,1995-05-20,4.7753424657534245,1425,1587,1336,3.8230952275694956e-5,1.0781987664269026e-4,bci
eugega,4,1995-05-20,2000-05-14,4.983606557377049,1587,1684,1450,5.698177073446323e-5,9.732652811579851e-5,bci
eugega,5,2000-05-14,2005-05-29,5.041095890410959,1684,1849,1572,4.5668937563974784e-5,1.1294906879661621e-4,bci
eugega,6,2005-05-29,2010-05-17,4.967123287671233,1849,2095,1698,6.288559835303138e-5,1.6533498374936064e-4,bci
eugega,7,2010-05-17,2015-07-09,5.144808743169399,2095,2400,1925,6.835806394904715e-5,1.910004727988082e-4,bci
tri4ga,1,1982-01-01,1985-05-03,3.334246575342466,7,4,4,2.163137811672445e-6,0,bci
tri4ga,2,1985-05-03,1990-08-10,5.271232876712329,4,2,1,1.8500182870662422e-6,6.166727623554141e-7,bci
tri4ga,3,1990-08-10,1995-05-20,4.7753424657534245,2,1,1,5.404343093800423e-7,0,bci
tri4ga,4,1995-05-20,2000-05-14,4.983606557377049,1,5,1,0,NaN,bci
tri4ga,5,2000-05-14,2005-05-29,5.041095890410959,5,1,1,2.733159563941279e-6,0,bci
tri4ga,6,2005-05-29,2010-05-17,4.967123287671233,1,2,0,2e-6,4e-6,bci
tri4ga,7,2010-05-17,2015-07-09,5.144808743169399,2,4,2,0,NaN,bci
laetpr,1,1982-01-01,1985-05-03,3.334246575342466,24,23,20,2.554240083808411e-6,1.9156800628563084e-6,bci
laetpr,2,1985-05-03,1990-08-10,5.271232876712329,23,30,21,7.870641663977557e-7,3.541788748789901e-6,bci
laetpr,3,1990-08-10,1995-05-20,4.7753424657534245,30,27,24,2.7391994911064254e-6,1.3695997455532125e-6,bci
laetpr,4,1995-05-20,2000-05-14,4.983606557377049,27,26,25,8.275074087057403e-7,4.1375370435287017e-7,bci
laetpr,5,2000-05-14,2005-05-29,5.041095890410959,26,25,25,4.0300043840784557e-7,0,bci
laetpr,6,2005-05-29,2010-05-17,4.967123287671233,25,28,19,2.687603468939287e-6,4.03140520340893e-6,bci
